Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,"Themen (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)","Fachbereich / Material (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)",Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive,Letzte Aktualisierung
ARIADNE RI,https://www.ariadne-research-infrastructure.eu/ ,ARIADNE Research Infrastructure,Datenschema,"<KI-Generiert> Online Datenaustauschplattform für Daten zu Fundplätzen, Denkmälern und Objekten, Mappingdienste","<KI-Generiert> Datenaustausch, Daten zu Fundplätzen, Daten zu Denkmälern, Daten zu Objekten, Mappingdienste","Online Datenaustauschplattform für Daten zu Fundplätzen, Denkmälern und Objekten, Mappingdienste",Datenaustausch,diverse,englisch,Cidoc CRM,,<KI-Generiert> Creative Commons Attribution-NonCommercial 4.0 International License CC BY-NC 4.0,<KI-Generiert> x,,"non-profit, FAIR, basiert auf 3 Hauptkomponenten:  what, where, when; What – Getty AAT oder MappingTool zum mappen auf AAT; When – Zeitspanne definiert in PeriodO; Where – latitude & longitude; enger Bezug zu EDM und CARARE",,,True,True,
Art & Architecture Thesaurus,https://docs.google.com/spreadsheets/d/1TrJwPM03GM7HZQfxooG0bMT5CV2LZI7H2N3yQlMpzSU/edit#gid=0,Getty Research Institute,Vokabular,"<KI-Generiert> Referenzthesaurus mit breitem Inhaltsbereich. Viele Begriffe decken auch Bereich der Konservierung/Restaurierung mit ab, aber u.U. nicht vollumfänglich",<KI-Generiert> Thesaurus,"Referenzthesaurus mit breitem Inhaltsbereich. Viele Begriffe decken auch Bereich der Konservierung/Restaurierung mit ab, aber u.U. nicht vollumfänglich",Alle,USA,englisch,Linked Open Data,X,,X,X,Wichtiger Referenzthesaurus für Mapping,vocab@getty.edu,True,,True,2025-04-01
Art & Architecture Thesaurus Deutsch,https://www.aat-deutsch.de/,Getty Research Institute,Vokabular,"<KI-Generiert> Die deutsche Fassung des Art & Architecture Thesaurus (AAT) ermöglicht die Recherche nach Begriffen. In einer ersten Projektphase wurde die Objekt-Facette bearbeitet. Solange ein Begriff noch in der Bearbeitung ist, wird die englische Bezeichnung angezeigt.","<KI-Generiert> Objekte, Techniken","Objekte, Techniken",Alle,<KI-Generiert> Deutschland,"englisch, deutsch",Linked Open Data,X,,X,-,"KF: meisten Begriffe weiterhin in Englisch, nur vereinzelt ins Deutsche übersetzt und Definitionen fehlen","Prof. Monika Hagedorn-Saupe, Projektleitung m.hagedorn(at)smb.spk-berlin.de",True,,True,2014-01-01
Art Glass Terms,https://oceansidecompatible.com/pages/art-glass-terms,Oceanside Glasstile World Headquarters,Vokabular,"<KI-Generiert> Glossar der Fachbegriffe für Kunstglas, Objekte, Techniken, Glas","<KI-Generiert> Objekte, Techniken, Glas","Objekte, Techniken",Glas,,englisch,HTML,-,,X,-,NW: Begriffe mit Erklärung. Für Restaurierung eher wenig informativ,artglass@glasstile.com,True,,True,2025-01-01
Art terms,https://www.moma.org/collection/terms/,Museum of Modern Art,Vokabular,"<KI-Generiert> Objekte, Techniken, Moderne Kunst","<KI-Generiert> Objekte, Techniken, Moderne Kunst","Objekte, Techniken",Moderne Kunst,,englisch,HTML,-,,X,-,NW: Begriffe mit Erklärung. Für Restaurierung eher wenig informativ,moma_publications@moma.org,True,,False,
Artlex - Art Dictionary,https://www.artlex.com/de/,Artlex,Vokabular,"<KI-Generiert> Das Original-Wörterbuch und die Enzyklopädie der Kunst im Internet, gegründet 1998. Erweiterung des Angebots um Künstlerprofile, Kunst-Tutorials, Kaufanleitungen und vieles mehr. Schlagwörter: Objekte, Techniken, Künstler, Moderne Kunst","<KI-Generiert> Objekte, Techniken, Künstler, Moderne Kunst","Objekte, Techniken, Künstler",Moderne Kunst,,"deutsch, englisch, etc.",HTML,-,,X,-,"NW: wird wohl seit 2021 überarbeitet, momentan eher nicht nutzbar",admin@artlex.com,True,,True,2024-10-09
Asian Textile Database,https://cameo.mfa.org/wiki/Category:Asian_Textile_Database,"Museum of fine arts, Boston",Fachtext,"<KI-Generiert> Die Asian Textile Database ist ein digitales Inventar von Textilien, die zur Remontierung ostasiatischer Gemälde und Kalligraphien als Schriftrollen und Schirme im National Museum of Asian Art der Smithsonian Institution in Washington, DC, verwendet werden. Ziel ist die Schaffung einer Open-Access-Datenbank, die im Laufe der Zeit erweitert wird, um die internationale Erforschung asiatischer Textilien zu erleichtern. Die Datenbank enthält grundlegende technische Daten wie Mustertyp und -maße, Webstruktur, Fadenzahl und -drehung sowie hochauflösende Bilder. Stichworte: Materialien, Textil.","<KI-Generiert> Materialien, Textil",Materialien,Textil,,englisch,MediaWiki,-,,X,X,NW: Eher eine Art Inventar. Hilfreich bei Zuordnung/Einordnung von Textilien,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com   Asian Textiles, senior editors: Andrew Hare, Supervisory Conservator, Eat Asian Painting Conservation Studio, National Museum of Asian Art (harean@si.edu)",True,,True,2024-02-27
Atlas of degradation phenomena in plastics and rubbers,https://www.mdpi.com/2073-4360/14/1/121,Deutsches Bergbau-Museum Bochum,Vokabular,"<KI-Generiert> Ein Fachtext über die Analyse von Materialien und einen visuellen Leitfaden für Abbauphänomene in historischen synthetischen Polymeren als Werkzeuge zur Verfolgung von Alterungsprozessen in industriellen Kulturerbesammlungen. Schlagworte: Polymerabbau, Kunststoffe, Kautschuke, visueller Atlas, Schadensphänomene, Museumsübersicht, Industrieerbe, ATR-FTIR, py-GCMS","<KI-Generiert> Polymerabbau, Kunststoffe, Kautschuke, visueller Atlas, Schadensphänomene, Museumsübersicht, Industrieerbe, ATR-FTIR, py-GCMS","Schadens- und Alterungsphänomene an Kunststoffobjekten. Englische Version. Deutsche Version im Druck (""Arbeitsheften des Brandenburgischen Landesamtes für Denkmalpflege und Archäologischen Landesmuseums"" voraussichtlich 2025)",Kunststoffe,DE,englisch (deutsch),Publikation (noch),,<KI-Generiert> Creative Common CC BY,x,x,,,True,True,True,2021-12-29
AV Artifact Atlas,https://www.avartifactatlas.com/,Stanford Media Preservation Lab,Vokabular,"<KI-Generiert> AV Artifact Atlas, eine Ressource zur Identifizierung von Fehlern und Anomalien in analogen und digitalen Videos. Schlagworte: Zustand, Neue Medien / Video","<KI-Generiert> Abrasion, Analog Audio, Azimuth, Baking, Balanced Cables, Banding, Betamax, Black Levels, Cable, Cassette, Chrominance, Cleaning, Clicks, Clipping, Color, Color lock, Color smearing, Comet Tails, Common Artifacts, Curvature error, DV, DV25, Deck Failure, Deformation, Device Error, Digital, Digital Clicks, Digitization, Dirt, Disc Playback, Discrete Cosine Transform, Dot Crawl, Dropout, Dying Batteries, Edge curl, Editing cut, Electrical Error, Expansion, Extended Play, Film, Flange pack, Flicker, Frequency Loss, Ghosting, Gouging, Head Clog, Hue, Hum, Interference, LP, Levels, Levels Too Hot, Long Play, Luminance, Luminance Blooming, MPEG, Magnetic Tape, Magnetostrictive Action, Media Damage, Media Failure, Mono, Noise, Open Reel Tape, Operator Error, Overs Oxide Out, PAL, Phase, Pitch, Playback Adjustment, Popped strand, Post-echo, Power Supply, Pre-echo, Processing Artifact, Production Error, Pulse, Quilting, RF, Rewinding, Servo, Shrinkage, Skew, Smearing, Speed Fluctuation, Spoking, Station Qualification, Step pack, Stereo, Strobing, Sub-sampling, Synchronization, System Failure, Tape Error, Time Base Corrector, Tracking Error, Transfer Artifact, U-matic, Undersaturation, Video Warble, Waveform, Windowing, Y/C Delay Error, deterioration, flutter, lubrication, sticky, Zustand, Neue Medien, Video",Zustand,Neue Medien / Video,,englisch,GitHub,-,<KI-Generiert> Copyrights,X,-,"NW: Begriffe mit Erklärung. Hilfreich, inkl. Visualisierungen. Problemlösungen/Anleitungen vorhanden",avaa@bavc.org,True,,True,
Basic Formal Ontology (BFO),https://basic-formal-ontology.org/,,Ontologie,"<KI-Generiert> Die Basic Formal Ontology (BFO) ist eine kleine Upper-Level-Ontologie, die zur Unterstützung von Informationsabruf, -analyse und -integration in wissenschaftlichen und anderen Bereichen entwickelt wurde.",<KI-Generiert> Ontologie,,,,,,,,<KI-Generiert> x,,,,,True,True,2020-03-24
Beilstein Handbook of Organic Chemistry - Beilstein German to English and English to German Dictionary,https://web.stanford.edu/group/swain/beilstein/index.html,Stanford University,Vokabular,"<KI-Generiert> Das Beilstein Deutsch-Englisch und Englisch-Deutsch Wörterbuch wurde vom wissenschaftlichen Personal des Beilstein-Instituts zusammengestellt, um die Nutzung der Basic Series und Supplementary Series I bis IV durch diejenigen Handbuchbenutzer zu erleichtern, deren Muttersprache nicht Deutsch ist. Mit insgesamt etwa 2.100 Einträgen enthält es die meisten deutschen Wörter, die im Beilstein-Handbuch vorkommen, sowie gängige Abkürzungen, alphabetisch geordnet mit ihren englischen Äquivalenten. Chemie","<KI-Generiert> Chemie, Beilstein Handbook of Organic Chemistry, Beilstein German to English and English to German Dictionary",Chemie,Alle,,"deutsch, englisch",HTML,-,"<KI-Generiert> Copyright 1990 by Springer-Verlag, Berlin Heidelberg. Reproduced for educational purposes with permission from Springer-Verlag.",X,-,"NW: Nur Begriffe, keine Erklärungen",Grace Baysinger graceb@stanford.edu,True,,True,
Bibliographic Database of the Conservation Information Network,https://bcin.info/vufind/,Canadian Conservation Institute Library,Datenbank,<KI-Generiert> Bibliographic Database of the Conservation Information Network. Literatur,<KI-Generiert> Literatur,Literatur,Alle,,"deutsch, englisch etc.",HTML,-,,X,X,NW: Literatur Datenbank auch für Paper inkl. Beschreibungen. Teilweise Verlinkungen zu Volltexten ,General Support: library@iccrom.org info@bcin.info,True,,True,
Bildindex der Kunst und Architektur,https://www.bildindex.de/,Philipps-Universität Marburg,Datenbank,"<KI-Generiert> Objekte, Kunstgeschichte (Malerei, Architektur, angewandter Kunst, Druckgraphik, Skulptur und Zeichenkunst)","<KI-Generiert> Objekte, Kunstgeschichte, Malerei, Architektur, angewandter Kunst, Druckgraphik, Skulptur, Zeichenkunst",Objekte,"Kunstgeschichte (Malerei, Architektur, angewandter Kunst, Druckgraphik, Skulptur und Zeichenkunst)",,deutsch,HTML,-,,X,X,"NW: Bild- und Datenarchiv. Interessant für Provenienzforschung, Restaurierung",bildarchiv@fotomarburg.de  Redaktionsverantwortung Christoph Glorius M.A. Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg Biegenstraße 11 35037 Marburg Deutschland Tel. +49 6421 28-22115 Fax +49 6421 28-28931 christoph.glorius@fotomarburg.de,True,,True,2025-04-11
BM Object names Thesaurus,https://collectionstrust.org.uk/resource/materials-thesaurus-british-museum/,"British Museum, London",Vokabular,"<KI-Generiert> Der Materials Thesaurus wurde ursprünglich aus Indexbegriffen zusammengestellt, die aus Computeraufzeichnungen generiert wurden, die anhand von kuratorischen Unterlagen und den Objekten selbst erstellt wurden. Es wird betont, dass die endgültige Auflistung nicht als wissenschaftliches Klassifikationssystem gedacht ist, sondern eine Widerspiegelung der Terminologie ist, sowohl aktuell als auch historisch, die in den kuratorischen Abteilungen des British Museum verwendet wird. Schlagwörter: Objekte, Techniken.","<KI-Generiert> Objekte, Techniken","Objekte, Techniken",Alle,,englisch,HTML,-,,X,-,"NW: Hauptsächlich Begriffe, kaum Erklärungen",info@britishmuseum.org,True,,True,2015-12-15
Boppard Conservation Project,https://boppardconservationproject.wordpress.com/about/a-glossary-of-stained-glass-terms/,Glasgow Museums,Vokabular,"<KI-Generiert> Ein Glossar mit Begriffen zum Thema Glasmalerei, erstellt im Rahmen des Boppard Conservation Project. Schlagwörter: Objekte, Techniken, Glas","<KI-Generiert> Objekte, Techniken, Glas","Objekte, Techniken",Glas,,englisch,WordPress,-,,X,-,"NW: Nicht vollständig, teilweise nur Begriffe ohne Erklärung",info@glasgowlife.org.uk ?,True,,True,2013-04-21
BPG Glossary of Terms,https://www.conservation-wiki.com/wiki/BPG_Glossary_of_Terms,American Institute for Conservation,Vokabular,"<KI-Generiert> Ein Glossar mit Begriffen zum Thema Konservierung von Büchern und Papier, zusammengestellt aus verschiedenen Glossaren des Paper Conservation Wiki.","<KI-Generiert> Glossar, Papierkonservierung, Buchkonservierung, Terminologie, Definitionen, Konservierung, Restaurierung, Papier, Buch","Maßnahmen, Zustand",Papier,,englisch,MediaWiki,X,<KI-Generiert> Copyright 2025. The AIC Wiki is a publication of the American Institute for Conservation (AIC).,X,X,"NW: Sehr hilfreich für uns. Sammlung der unterschiedlichen Glossare aus dem Paper Conservation Wiki. Begriffe mit Erklärungen, Verlinkungen vorhanden",AIC Bonnie Naugle (Communications & Membership Director) bnaugle@culturalheritage.org,True,,True,2025-01-23
"BPG Hinge, Tape, and Adhesive Removal","https://www.conservation-wiki.com/wiki/BPG_Hinge,_Tape,_and_Adhesive_Removal",American Institute for Conservation,Fachtext,"<KI-Generiert> Diese Seite behandelt die Entfernung von sich zersetzenden oder potenziell schädlichen Anbringungen wie Klebeband, Scharniermaterial, Klebstoffrückständen und zugehörigen Flecken mit einer Referenzliste von Klebebändern und Klebstoffen, einer Zeitleiste und einem Glossar. ","<KI-Generiert> Klebebandentfernung, Scharnierentfernung, Klebstoffentfernung, Papierkonservierung, Behandlungstechniken für Papier, Materialien und Behandlung",Materialien,Alle,,englisch,MediaWiki,X,,X,X,"NW: Sehr hilfreich für uns und Restaurierung, zum Teil mit Anweisungen",AIC Bonnie Naugle (Communications & Membership Director) bnaugle@culturalheritage.org,True,,True,2024-02-23
Cameo materials database,https://cameo.mfa.org/wiki/Category:Materials_database,"Museum of fine arts, Boston",Vokabular,"<KI-Generiert> Die MATERIALS-Datenbank enthält chemische, physikalische, visuelle und analytische Informationen zu über 10.000 historischen und zeitgenössischen Materialien, die bei der Herstellung und Konservierung von künstlerischen, architektonischen, archäologischen und anthropologischen Materialien verwendet werden. Schlagworte: Materialien, chemische Informationen, physikalische Informationen, visuelle Informationen, analytische Informationen, historische Materialien, zeitgenössische Materialien, Kunst, Architektur, Archäologie, Anthropologie, Konservierung.","<KI-Generiert> Materialien, chemische Informationen, physikalische Informationen, visuelle Informationen, analytische Informationen, historische Materialien, zeitgenössische Materialien, Kunst, Architektur, Archäologie, Anthropologie, Konservierung",Materialien,Alle,,englisch,MediaWiki,-,,X,X,NW: Sehr hilfreich für uns,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2022-10-18
Categories for the Description of Works of Art (CDWA),https://www.getty.edu/research/publications/electronic_publications/cdwa/index.html,Getty Research Institute,Datenschema,<KI-Generiert> Dokumentation,<KI-Generiert> Schlagwörter,Dokumentation,Alle,,englisch,HTML,-,,X,X,NW: Sehr hilfreich für uns,vocab@getty.edu,True,,True,
Cocoda / coli conc,https://coli-conc.gbv.de/de/cocoda/,VZG,<KI-Generiert> Datenbank,"<KI-Generiert> Web-Applikation für Mapping von Klassifikationen, Normdateien und Thesauri","<KI-Generiert> Klassifikationen, Normdateien, Thesauri, Mapping","Web-Applikation für Mapping von Klassifikationen, Normdateien und Thesauri",,DE,"deutsch, englisch",<KI-Generiert> HTML,,,<KI-Generiert> x,,,,,True,True,2020-05-27
Collections Trust,https://collectionstrust.org.uk/,Collections Trust,<KI-Generiert> Fachtext,"<KI-Generiert> Collections Trust hilft Museen bei der Arbeit mit Informationen, die Sammlungen und Publikum verbinden. Objekte, Techniken","<KI-Generiert> Objekte, Techniken","Objekte, Techniken",Alle,,englisch,HTML,-,,X,,,,True,,True,2015-12-15
Color and Space in Cultural Heritage (COSCH),https://www.cosch.info/home.html,Hochschule Mainz / King's College London,Ontologie,<KI-Generiert> Dokumentation,<KI-Generiert> Schlagwörter,Dokumentation,Alle,,englisch,"OWL 2, COSCHKR",X,,X,,,"Action Chair Prof. Dr.-Ing. Frank Boochs Managing Director i3mainz Hochschule Mainz – University of Applied Sciences Mainz, Germany e-mail: frank.boochs@hs-mainz.de",True,,True,
Comité International pour la DOCumentation - Conceptual Reference Model (CIDOC CRM),https://cidoc-crm.org/,ICOM - International Council of Museums,Ontologie,"<KI-Generiert> Erweiterbare Ontologie für Begriffe, Relationen und Informationen des Kulturerbes, ermöglicht Integration von Datensätzen verschiedenen Ursprungs in einer Software","<KI-Generiert> Ontologie, Kulturerbe, Datenintegration, Semantik, Information","Erweiterbare Ontologie für Begriffe, Relationen und Informationen des Kulturerbes, ermöglicht Integration von Datensätzen verschiedenen Ursprungs in einer Software",Werkzeug für den Austausch von Daten über kulturelles Erbe,diverse,englisch,Cidoc CRM,x,,<KI-Generiert> x,,"ISO Norm 21127:2014, Erweiterungen CRMarchaeo, CRMba, CRNdig und CRMgeo, die Relevanz für die Archäologie haben",,,True,True,2025-01-01
Condition Reporting – Paintings. Part III: Glossary – Canadian Conservation Institute (CCI) Notes 10/11,https://www.canada.ca/en/conservation-institute/services/conservation-preservation-publications/canadian-conservation-institute-notes/condition-reporting-paintings-glossary.html,Canadian Conservation Institute,Vokabular,"<KI-Generiert> Dieses Glossar erläutert die Terminologie, die von Restauratoren in Zustandsberichten für Gemälde verwendet wird, um Museumsmitarbeitern zu helfen, genaue Zustandsberichte zu erstellen und zu pflegen. Es enthält Definitionen von Fachbegriffen, die in den CCI Notes der Serie 10 verwendet werden, und ein Französisch-Englisches-Register.","<KI-Generiert> Zustand, Gemälde, Glossar, Gemäldekonservierung, Terminologie, Restaurierung, CCI Notes",Zustand,Gemälde,<KI-Generiert> Kanada,englisch,HTML,-,"<KI-Generiert> © Government of Canada, Canadian Conservation Institute, 2017",X,-,"NW: Begriffe mit Erklärung, teilweise Zeichnungen. Hilfreich für Restaurierung",iccdemande-ccirequest@pch.gc.ca,True,,True,2017-09-14
Connecting Archaeology and Architecture in Europe (CARARE),https://www.carare.eu/en/services/carare-aggregation-services/ ,Europeana,<KI-Generiert> Datenbank,<KI-Generiert> Datenveröffentlichung für digitale Daten zu Archäologie und Architektur,<KI-Generiert> Schlagwörter,Datenveröffentlichung für digitale Daten zu Archäologie und Architektur,,diverse,englisch,"Metadaten gemappt auf CARARE, LIDO, EDM",,,,,"bietet Metadata standards, schemas, and data quality including data analysis, metadata mapping, conversion to CARARE and EDM formats, metadata enrichment, geographic data (place name gazetteers, coordinates, conversion of national coordinates to WGS 84 for Europeana, historical placenames), subject indexing (use of controlled vocabularies), temporal data (archaeological periods, date formats), Linked Data and Linked Open Data, Copyright and associated rights, Access rights and permissions, language identification, metadata validation, metadata enrichment",,,True,False,
