Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive
Archaeological event type thesaurus (FISH),https://collectionstrust.org.uk/resource/archaeological-event-type-thesaurus-archaeological-event-type-thesaurus-fish/,Collection Trust,Ontologie,"Hierarchischer Thesaurus für die Dokumentation archäologischer und baudenkmalpflegerischer Untersuchungen, Probennahmen, Surveys etc.","Dokumentation, Maßnahmen, Survey, Probennahme",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",,Open Government Licence v3,TRUE,TRUE,,,FALSE,TRUE,TRUE
Archaeological Objects Thesaurus (FISH),https://collectionstrust.org.uk/resource/archaeological-objects-thesaurus-fish/,Collection Trust,Ontologie,"Der Archaeological Objects Thesaurus enthält Begriffe für physische Beweise, meist beweglich, die aus vergangenen menschlichen Aktivitäten resultieren, oder Umweltüberreste, die aus archäologischen Feldarbeiten gewonnen werden können. Er ist Richtlinie für Grabungsdokumentationen in Großbritannien und Irland.","Objekt, Funde, Archäologie","GBR, IRL",englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",X,CC-BY-3.0,TRUE,TRUE,"KF: nur Begriffe, keine Erklärungen. Für Restaurierung eher wenig informativ",terminologies@HistoricEngland.org.uk,TRUE,TRUE,TRUE
Archaeological Science Thesaurus (FISH),https://collectionstrust.org.uk/resource/archaeological-sciences-thesaurus-fish/,Collection Trust,Ontologie,"Der Archaeological Science Thesaurus für archäologische Wissenschaften wird für die Erfassung der Techniken, Bergungsmethoden und Materialien im Zusammenhang mit den archäologischen Wissenschaften verwendet.","Methoden, Maßnahmen, Materialien, Archäologie",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",X,Open Government Licence v3,TRUE,TRUE,"KF: nur Begriffe, keine Erklärungen",terminologies@HistoricEngland.org.uk,TRUE,TRUE,TRUE
ARIADNE RI,https://www.ariadne-research-infrastructure.eu/,ARIADNE Research Infrastructure,Ressourcensammlung,"Online Datenaustauschplattform für Daten zu Fundplätzen, Denkmälern und Objekten. Dazu werden Mappingdienste (z.B. auf Getty AAT), Weiterbildungen im Forschungsdatenmanagement, 3D-Meshservices, Dendrodatenrepositorien und weiterführende Datenportale angeboten.","Datenaustausch, Mappingdienste, Lehrmaterial",diverse,englisch,diverse,,CC BY-NC 4.0,TRUE,TRUE,"non-profit, FAIR, basiert auf 3 Hauptkomponenten:  what, where, when; What – Getty AAT oder MappingTool zum mappen auf AAT; When – Zeitspanne definiert in PeriodO; Where – latitude & longitude; enger Bezug zu EDM und CARARE",,TRUE,TRUE,TRUE
Art & Architecture Thesaurus,https://www.getty.edu/research/tools/vocabularies/aat/index.html,Getty Research Institute,Vokabular,"Referenzthesaurus mit breitem Inhaltsbereich zu Kunst, Architektur, Ethnologie, Kultur- und Technikgeschichte. Er enthält Fachbegriffe nicht nur für die Objektbezeichnungen, sondern auch für die physische Beschreibung von Objekten, wie Farbe, Materialien und Herstellungstechniken sowie die Zuordnung von Stilen und Perioden. Viele Begriffe decken auch Bereich der Konservierung/Restaurierung mit ab, aber u. U. nicht vollumfänglich","Thesaurus, Kunst, Architektur",USA,englisch,"JSON, RDF, N3/Turtle, N-Triples for GVP and Linked.Art, XML, Relational Tables, Web Services APIs",X,ODC-BY v1.0,TRUE,TRUE,Wichtiger Referenzthesaurus für Mapping,vocab@getty.edu,TRUE,TRUE,TRUE
Art & Architecture Thesaurus Deutsch,https://www.aat-deutsch.de/,"Institut für Museumsforschung, Staatliche Museen zu Berlin, Stiftung Preußischer Kulturbesitz",Vokabular,"Die deutsche Fassung des Art & Architecture Thesaurus (AAT). Solange ein Begriff noch in der Bearbeitung ist, wird die englische Bezeichnung angezeigt.","Thesaurus, Kunst, Architektur",DE,"deutsch, englisch","JSON, RDF, N3/Turtle, N-Triples for GVP and Linked.Art, XML, Relational Tables, Web Services APIs",X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,"KF: meisten Begriffe weiterhin in Englisch, nur vereinzelt ins Deutsche übersetzt und Definitionen fehlen","Prof. Monika Hagedorn-Saupe, Projektleitung
m.hagedorn(at)smb.spk-berlin.de",TRUE,TRUE,TRUE
Art Glass Terms,https://oceansidecompatible.com/pages/art-glass-terms,Oceanside Glasstile World Headquarters,Vokabular,Glossar der Fachbegriffe für Kunstglas.,"Objekt, Technik, Glas",USA,englisch,HTML,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025, Oceanside Compatible®",TRUE,FALSE,NW: Begriffe mit Erklärung. Für Restaurierung eher wenig informativ,artglass@glasstile.com,TRUE,TRUE,TRUE
Art terms,https://www.moma.org/collection/terms/,Museum of Modern Art,Vokabular,"Glossar von Begriffen zu Materialien, Themen und Techniken moderner Kunst.","Objekt, Technik, Moderne Kunst",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025 The Museum of Modern Art,TRUE,FALSE,NW: Begriffe mit Erklärung. Für Restaurierung eher wenig informativ,moma_publications@moma.org,TRUE,TRUE,FALSE
Asian Textile Database,https://cameo.mfa.org/wiki/Category:Asian_Textile_Database,"Museum of fine arts, Boston",Vokabular,"Datenbank zu asiatischen Textilien, basierend auf der Sammlung des Smithsonian National Museum of Asian Art in Washington, DC. Die Datenbank enthält grundlegende technische Daten wie Mustertyp und -maße, Webstruktur, Fadenzahl und -drehung sowie hochauflösende Bilder, und ein Lexikon für die Standardterminologie.","Textil, Asien, Material",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,NW: Eher eine Art Inventar. Hilfreich bei Zuordnung/Einordnung von Textilien,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com 

Asian Textiles, senior editors:
Andrew Hare, Supervisory Conservator, Eat Asian Painting Conservation Studio, National Museum of Asian Art (harean@si.edu)",TRUE,FALSE,TRUE
Atlas of degradation phenomena in plastics and rubbers,https://www.mdpi.com/2073-4360/14/1/121,Deutsches Bergbau-Museum Bochum,Fachtext,"Ein Fachtext und visueller Leitfaden über die Analyse von Materialien zu Abbauphänomenen in historischen synthetischen Polymeren, als Werkzeuge zur Verfolgung von Alterungsprozessen in industriellen Kulturerbesammlungen.","Polymerabbau, Kunststoffe, Kautschuke, visueller Atlas, Schadensphänomene, Industrieerbe, ATR-FTIR, py-GCMS",DE,englisch (deutsch),"PDF, HTML",,CC-BY-4.0,TRUE,FALSE,,,TRUE,TRUE,TRUE
AV Artifact Atlas,https://www.avartifactatlas.com/,Stanford Media Preservation Lab,Vokabular,Ressource zur Identifizierung von Fehlern und Anomalien in analogen und digitalen Videos.,"Video, Fehler, Zustand",USA,englisch,"GitHub, HTML",-,CC BY-NC-SA 3.0,TRUE,TRUE,"NW: Begriffe mit Erklärung. Hilfreich, inkl. Visualisierungen. Problemlösungen/Anleitungen vorhanden",avaa@bavc.org,TRUE,FALSE,TRUE
Baden-Württemberg Grabungsrichtlinien,https://www.denkmalpflege-bw.de/geschichte-auftrag-struktur/archaeologische-denkmalpflege/firmenarchaeologie,Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart,Fachtext,"Grabungsrichtlinien des Landes Baden-Württemberg, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.","Grabungsrichtlinien, Formulare, Ausgrabung",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Copyright Land Baden-Württemberg,TRUE,TRUE,,,TRUE,TRUE,TRUE
Baden-Württemberg Thesauri,https://www.denkmalpflege-bw.de/geschichte-auftrag-struktur/archaeologische-denkmalpflege/firmenarchaeologie,Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart,Vokabular,Thesauri für die archäologische Arbeit in Baden-Württemberg.,"Thesaurus, Ausgrabung, Funde",DE,deutsch,CSV,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Copyright Land Baden-Württemberg,TRUE,TRUE,,,TRUE,TRUE,TRUE
Basic Formal Ontology (BFO),https://basic-formal-ontology.org/,BFO Discussion Group,Ontologie,"Die Basic Formal Ontology (BFO) ist eine kleine Upper-Level-Ontologie, die zur Unterstützung von Informationsabruf, -analyse und -integration in wissenschaftlichen und anderen Bereichen entwickelt wurde. Sie enthält Oberbegriffe und Relationen, die allen wissenschaftlichen Fachrichtungen gemein sind (z.B. Objekte, Prozesse).","Oberbegriffe, Klassen, Relationen",diverse,englisch,"OWL, RDF/XML",,CC-BY-4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Beilstein Handbook of Organic Chemistry - Beilstein German to English and English to German Dictionary,https://web.stanford.edu/group/swain/beilstein/index.html,Stanford University,Vokabular,Deutsch-Englisch Wörterbuch für Begriffe aus dem Beilstein Handbuch der organischen Chemie.,"Beilstein Handbuch, Übersetzung, Chemie",USA,"deutsch, englisch",HTML,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Stanford University, Stanford, California",TRUE,FALSE,"NW: Nur Begriffe, keine Erklärungen",Grace Baysinger graceb@stanford.edu,TRUE,FALSE,TRUE
Bibliographic Database of the Conservation Information Network,https://bcin.info/vufind/,Canadian Conservation Institute Library,Datenbank,Literaturdatenbank zu Themen der Restaurierung und Konservierung.,"Literatur, Restaurierung",diverse,"deutsch, englisch",HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,NW: Literatur Datenbank auch für Paper inkl. Beschreibungen. Teilweise Verlinkungen zu Volltexten,"General Support: library@iccrom.org
info@bcin.info",TRUE,FALSE,TRUE
Bildindex der Kunst und Architektur,https://www.bildindex.de/,Philipps-Universität Marburg,Datenbank,Bilddatenbank zu Bild- und Datenbeständen zur Kunst und Architektur von über 80 Kultur- und Wissenschaftseinrichtungen.,"Objekt, Kunstgeschichte, Malerei, Architektur, angewandter Kunst, Druckgraphik, Skulptur, Zeichenkunst","DE, CH, IT, POL",deutsch,HTML,-,"Verschiedene, viele PDM 1.0 oder CC By-SA 4.0",TRUE,TRUE,"NW: Bild- und Datenarchiv. Interessant für Provenienzforschung, Restaurierung","bildarchiv@fotomarburg.de

Redaktionsverantwortung
Christoph Glorius M.A.
Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg
Biegenstraße 11
35037 Marburg
Deutschland
Tel. +49 6421 28-22115
Fax +49 6421 28-28931
christoph.glorius@fotomarburg.de",TRUE,TRUE,TRUE
BM Object names Thesaurus,https://collectionstrust.org.uk/resource/materials-thesaurus-british-museum/,British Museum,Vokabular,Hierarchisch strukturierter Materialthesaurus auf Basis der Objekte im British Museum (London).,"Objekt, Materialien, Technik",GBR,englisch,HTML,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Trustees of The British Museum, 1997",TRUE,FALSE,"NW: Hauptsächlich Begriffe, kaum Erklärungen",info@britishmuseum.org,TRUE,FALSE,TRUE
Boppard Conservation Project,https://boppardconservationproject.wordpress.com/about/a-glossary-of-stained-glass-terms/,Glasgow Museums,Vokabular,"Ein Glossar mit Begriffen zum Thema Glasmalerei, erstellt im Rahmen des Boppard Conservation Project.","Glas, Glasmalerei, Objekt, Technik",SCO,englisch,WordPress,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,"NW: Nicht vollständig, teilweise nur Begriffe ohne Erklärung",info@glasgowlife.org.uk ?,TRUE,FALSE,TRUE
BPG Glossary of Terms,https://www.conservation-wiki.com/wiki/BPG_Glossary_of_Terms,American Institute for Conservation,Vokabular,"Ein Glossar mit Begriffen zum Thema Konservierung von Büchern und Papier, zusammengestellt aus verschiedenen Glossaren des Paper Conservation Wiki.","Papierkonservierung, Papier, Buch",USA,englisch,MediaWiki,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,"NW: Sehr hilfreich für uns. Sammlung der unterschiedlichen Glossare aus dem Paper Conservation Wiki. Begriffe mit Erklärungen, Verlinkungen vorhanden","AIC Bonnie Naugle (Communications & Membership Director)
bnaugle@culturalheritage.org",TRUE,FALSE,TRUE
"BPG Hinge, Tape, and Adhesive Removal","https://www.conservation-wiki.com/wiki/BPG_Hinge,_Tape,_and_Adhesive_Removal",American Institute for Conservation,Fachtext,"Informationssammlung zu Klebstoffen, Klebematerialien und Anbringungen an Papier und Büchern, sowie zu deren Entfernung und damit verbundenen Techniken und Materialien. Enthalten ist außerdem eine Chronologie zur Verwendung von Klebstoffen im Kontext von Papier.","Klebstoff, Papier, Klebebandentfernung, Scharnierentfernung, Klebstoffentfernung, Papierkonservierung",USA,englisch,MediaWiki,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,"NW: Sehr hilfreich für uns und Restaurierung, zum Teil mit Anweisungen","AIC Bonnie Naugle (Communications & Membership Director)
bnaugle@culturalheritage.org",TRUE,FALSE,TRUE
Building Materials Thesaurus (FISH),https://collectionstrust.org.uk/resource/building-materials-thesaurus-fish/,Collections Trust,Vokabular,"Hierarchischer Thesaurus zu Materialien im Kontext von Gebäuden, Strukturen und Funden. Enthalten sind die Materialgruppen Stein, Metall, Textil, tierische und pflanzliche.","Material, Objekt, Stein, Textil, Metall",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",,CC-BY-3.0,TRUE,FALSE,,,TRUE,FALSE,TRUE
Built Cultural Heritage Ontology (BCHO),https://github.com/BCHOntology/BCHOntology,Katholische Universität Leuven,Ontologie,"semantisches Datenmodell für die Integration und den Austausch von heterogenen Informationen mit Bezug zu Baudenkmälern und deren präventiver Konservierung. Entwickelt und evauliert im Kontext Ecuadorianischer Denkmäler. Die Ontologie nutzt die Ontologien CityGML, MONDIS und CIDOC CRM nach.","Ontologie, Baudenkmalpflege, präventive Konservierung",BEL,englisch,Protégé/OWL,,CC-BY 4.0 International,TRUE,?,,,TRUE,TRUE,?
Cameo materials database,https://cameo.mfa.org/wiki/Category:Materials_database,"Museum of fine arts, Boston",Vokabular,"Material-Datenbank zu verschiedenen Materialien und Techniken, die im Bereich der Kunst- und Denkmalpflege verwendet werden.","Materialien, Konservierung, Kunst, Architektur, Archäologie",USA,englisch,MediaWiki,-,GNU FDL,TRUE,FALSE,NW: Sehr hilfreich für uns,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
Categories for the Description of Works of Art (CDWA),https://www.getty.edu/research/publications/electronic_publications/cdwa/index.html,Getty Research Institute,Datenschema,"Die CDWA umfassen eine Reihe von Leitlinien für bewährte Praktiken bei der Katalogisierung und Beschreibung von Kunstwerken, Architektur, anderer materieller Kultur, Werkgruppen und -sammlungen sowie zugehörigen Bildern. CDWA ist kein Datenmodell, sondern ein konzeptioneller Rahmen, der für den Entwurf von Datenmodellen und Datenbanken sowie für den Zugriff auf Informationen verwendet werden kann. Enthalten ist auch ein Minimaldatensatz.","Minimaldatensatz, Beschreibung, Dokumentation, Kunst, Architektur, Objekt, Papier",USA,englisch,"HTML, CIDOC CRM, LIDO, XML",-,CC BY 4.0,TRUE,TRUE,NW: Sehr hilfreich für uns,vocab@getty.edu,TRUE,FALSE,TRUE
Cocoda / coli conc,https://coli-conc.gbv.de/de/cocoda/,VZG,Mapping-Tool,"Web-Applikation für Mapping von Klassifikationen, Normdateien und Thesauri","Mapping, Klassifikation, Normdaten, Thesauri",DE,"deutsch, englisch","HTML, API, JSKOS, CSV, JSON",,MIT License,TRUE,TRUE,,,TRUE,TRUE,TRUE
Collections Trust,https://collectionstrust.org.uk/,Collections Trust,Ressourcensammlung,"Collections Trust hilft Museen bei der Arbeit mit Informationen, die Sammlungen und Publikum verbinden. Einer der Hauptservices ist das Collection Management System Spectrum. Angeboten werden auch Terminologien und Empfehlungen für den Umgang mit Sammlungen.","Sammlungsmanagement, Thesauri, Objekt, Technik",GBR,"englisch, diverse",HTML,-,verschiedene. Webseite: Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025 Museum Data Service.,TRUE,TRUE,,,TRUE,TRUE,TRUE
Color and Space in Cultural Heritage (COSCH),https://www.cosch.info/home.html,Hochschule Mainz / King's College London,Ressourcensammlung,"COSCH war eine europäische Forschungsinitiative (2012–2016), die sich auf nicht-invasive optische Technologien zur Dokumentation von Kulturerbeobjekten konzentrierte. Ziel war die Förderung von 3D-Scans, multispektraler Bildgebung und standardisierten Dokumentationsmethoden durch interdisziplinäre Zusammenarbeit.","3D-Dokumentation, multispektrale Bildgebung, Kulturerbe, optische Messtechnik, Denkmalpflege, Digitalisierung",International,englisch,"HTML, PDF",X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,,"Action Chair
Prof. Dr.-Ing. Frank Boochs
Managing Director
i3mainz
Hochschule Mainz – University of Applied Sciences
Mainz, Germany
e-mail: frank.boochs@hs-mainz.de",TRUE,TRUE,TRUE
Comité International pour la DOCumentation - Conceptual Reference Model (CIDOC CRM),https://cidoc-crm.org/,ICOM - International Council of Museums,Ontologie,"Erweiterbare Ontologie für Begriffe, Relationen und Informationen des Kulturerbes, ermöglicht Integration von Datensätzen verschiedenen Ursprungs in einer Software.","Datenintegration, Kulturerbe, Semantik",diverse,englisch,"CIDOC CRM, XML, RDF, OWL, JSON",x,CC BY 4.0,TRUE,TRUE,"ISO Norm 21127:2014, Erweiterungen CRMarchaeo, CRMba, CRNdig und CRMgeo, die Relevanz für die Archäologie haben",,TRUE,TRUE,TRUE
Components Thesaurus (FISH),https://collectionstrust.org.uk/resource/components-thesaurus-fish/,Collections Trust,Vokabular,"Terminologie zu Bauelementen und Raumeinheiten, Dekorelementen und Techniken von Gebäuden und Denkmälern.","Bauelement, Raumeinheit, Baudenkmal, Gebäude",GBR,englisch,"PDF, RDF/SKOS, NTRIPLE, TURTLE, JSON, XML, CSV",,OGLv3.0 = CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Conceptual Reference Model of French National Library (CRMBnF),"https://www.bnf.fr/en/ra2018-introduction  (nicht mehr erreichbar);
https://doi.org/10.1007/978-3-030-75018-3_15","French National Library (BnF), 
Heritage Sciences Foundation",Ontologie,"semantisches Datenmodel des DALGOCOL-Projektes an der Französischen Nationalbibliothek (BnF), mit dem die Restaurierungsgeschichte von Papier-Dokumenten  als Reihe von Events (Conservation Trajectories) mit einheitlichen Vokabularen repräsentiert werden kann. Auf diese Weise soll ein System geschaffen werden, mit dessen Hilfe zuverlässige Vorhersagen über den physischen Zustand der Papiere getroffen werden kann. Die Projektseite ist jedoch nicht mehr erreichbar und das Vorhaben lediglich durch textliche Artikel nachverfolgbar.","Ontologie, Papier, Erhaltungszustand, Konservierung-Restaurierung",FR,englisch,keine Angaben,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,FALSE,FALSE,,,TRUE,FALSE,FALSE
